date,GSPC,lead_GSPC_1,rfr,lead_date_1
1/2/1985,165.3699951,180.3500061,7.829999924,2/4/1985
1/3/1985,164.5700073,180.6100006,7.800000191,2/5/1985
1/4/1985,163.6799927,180.4299927,7.820000172,2/6/1985
1/7/1985,164.2400055,181.8200073,7.78000021,2/7/1985
1/8/1985,163.9900055,182.1900024,7.789999962,2/8/1985
1/9/1985,165.1799927,180.5099945,7.690000057,2/11/1985
1/10/1985,168.3099976,183.3500061,7.739999771,2/13/1985
1/11/1985,167.9100037,182.4100037,7.760000229,2/14/1985
1/14/1985,170.5099945,181.6000061,7.699999809,2/15/1985
1/15/1985,170.8099976,181.3300018,7.730000019,2/19/1985
1/16/1985,171.1900024,181.1799927,7.739999771,2/20/1985
1/17/1985,170.7299957,180.1900024,7.739999771,2/21/1985
1/18/1985,171.3200073,179.3600006,7.739999771,2/22/1985
1/22/1985,175.4799957,179.2299957,7.699999809,2/25/1985
1/23/1985,177.3000031,181.1699982,7.639999866,2/26/1985
1/24/1985,176.7100067,180.7100067,7.619999886,2/27/1985
1/25/1985,177.3500061,181.1799927,7.639999866,2/28/1985
1/28/1985,177.3999939,183.2299957,7.71999979,3/1/1985
1/29/1985,179.1799927,182.0599976,7.820000172,3/4/1985
1/30/1985,179.3899994,182.2299957,7.829999924,3/5/1985
1/31/1985,179.6300049,180.6499939,8.050000191,3/6/1985
2/1/1985,178.6300049,179.5099945,8.18999958,3/7/1985
2/4/1985,180.3500061,179.1000061,8.180000305,3/8/1985
2/5/1985,180.6100006,178.7899933,8.140000343,3/11/1985
2/6/1985,180.4299927,179.6600037,8.119999886,3/12/1985
2/7/1985,181.8200073,178.1900024,8.170000076,3/13/1985
2/8/1985,182.1900024,177.8399963,8.229999542,3/14/1985
2/11/1985,180.5099945,176.5299988,8.210000038,3/15/1985
2/13/1985,183.3500061,176.8800049,8.239999771,3/18/1985
2/14/1985,182.4100037,179.5399933,8.18999958,3/19/1985
2/15/1985,181.6000061,179.0800018,8.18999958,3/20/1985
2/19/1985,181.3300018,179.3500061,8.170000076,3/21/1985
2/20/1985,181.1799927,179.0399933,8.239999771,3/22/1985
2/21/1985,180.1900024,177.9700012,8.430000305,3/25/1985
2/22/1985,179.3600006,178.4299927,8.390000343,3/26/1985
2/25/1985,179.2299957,179.5399933,8.380000114,3/27/1985
2/26/1985,181.1699982,179.5399933,8.350000381,3/28/1985
2/27/1985,180.7100067,180.6600037,8.449999809,3/29/1985
2/28/1985,181.1799927,181.2700043,8.5,4/1/1985
3/1/1985,183.2299957,180.5299988,8.659999847,4/2/1985
3/4/1985,182.0599976,179.1100006,8.699999809,4/3/1985
3/5/1985,182.2299957,179.0299988,8.680000305,4/4/1985
3/6/1985,180.6499939,178.0299988,8.68999958,4/8/1985
3/7/1985,179.5099945,178.2100067,8.800000191,4/9/1985
3/8/1985,179.1000061,179.4199982,8.579999924,4/10/1985
3/11/1985,178.7899933,180.1900024,8.470000267,4/11/1985
3/12/1985,179.6600037,180.5399933,8.539999962,4/12/1985
3/13/1985,178.1900024,180.9199982,8.600000381,4/15/1985
3/14/1985,177.8399963,181.1999969,8.720000267,4/16/1985
3/15/1985,176.5299988,181.6799927,8.409999847,4/17/1985
3/18/1985,176.8800049,180.8399963,8.510000229,4/18/1985
3/19/1985,179.5399933,181.1100006,8.550000191,4/19/1985
3/20/1985,179.0800018,180.6999969,8.529999733,4/22/1985
3/21/1985,179.3500061,181.8800049,8.43999958,4/23/1985
3/22/1985,179.0399933,182.2599945,8.510000229,4/24/1985
3/25/1985,177.9700012,183.4299927,8.420000076,4/25/1985
3/26/1985,178.4299927,182.1799927,8.340000153,4/26/1985
3/27/1985,179.5399933,180.6300049,8.329999924,4/29/1985
3/28/1985,179.5399933,179.8300018,8.18999958,4/30/1985
3/29/1985,180.6600037,178.3699951,8.180000305,5/1/1985
4/1/1985,181.2700043,179.0099945,8.149999619,5/2/1985
4/2/1985,180.5299988,180.0800018,8.220000267,5/3/1985
4/3/1985,179.1100006,179.9900055,8.159999847,5/6/1985
4/4/1985,179.0299988,180.7599945,8.130000114,5/7/1985
4/8/1985,178.0299988,180.6199951,8.119999886,5/8/1985
4/9/1985,178.2100067,181.9199982,8.090000153,5/9/1985
4/10/1985,179.4199982,184.2799988,8.100000381,5/10/1985
4/11/1985,180.1900024,184.6100006,8.039999962,5/13/1985
4/12/1985,180.5399933,183.8699951,8.050000191,5/14/1985
4/15/1985,180.9199982,184.5399933,8.069999695,5/15/1985
4/16/1985,181.1999969,185.6600037,7.929999828,5/16/1985
4/17/1985,181.6799927,187.4199982,7.789999962,5/17/1985
4/18/1985,180.8399963,189.7200012,7.710000038,5/20/1985
4/19/1985,181.1100006,189.6399994,7.789999962,5/21/1985
4/22/1985,180.6999969,188.5599976,7.670000076,5/22/1985
4/23/1985,181.8800049,187.6000061,7.78000021,5/23/1985
4/24/1985,182.2599945,188.2899933,7.75,5/24/1985
4/25/1985,183.4299927,187.8600006,7.829999924,5/28/1985
4/26/1985,182.1799927,187.6799927,7.809999943,5/29/1985
4/29/1985,180.6300049,187.75,7.840000153,5/30/1985
4/30/1985,179.8300018,189.5500031,7.849999905,5/31/1985
5/1/1985,178.3699951,189.3200073,7.75,6/3/1985
5/2/1985,179.0099945,190.0399933,7.760000229,6/4/1985
5/3/1985,180.0800018,190.1600037,7.71999979,6/5/1985
5/6/1985,179.9900055,191.0599976,7.730000019,6/6/1985
5/7/1985,180.7599945,189.6799927,7.760000229,6/7/1985
5/8/1985,180.6199951,189.5099945,7.820000172,6/10/1985
5/9/1985,181.9199982,189.0399933,7.739999771,6/11/1985
5/10/1985,184.2799988,187.6100006,7.730000019,6/12/1985
5/13/1985,184.6100006,185.3300018,7.710000038,6/13/1985
5/14/1985,183.8699951,187.1000061,7.599999905,6/14/1985
5/15/1985,184.5399933,186.5299988,7.429999828,6/17/1985
5/16/1985,185.6600037,187.3399963,7.369999886,6/18/1985
5/17/1985,187.4199982,186.6300049,7.400000095,6/19/1985
5/20/1985,189.7200012,186.7299957,7.260000229,6/20/1985
5/21/1985,189.6399994,189.6100006,7.300000191,6/21/1985
5/22/1985,188.5599976,189.1499939,7.289999962,6/24/1985
5/23/1985,187.6000061,189.7400055,7.239999771,6/25/1985
5/24/1985,188.2899933,190.0599976,7.179999828,6/26/1985
5/28/1985,187.8600006,191.2299957,7.199999809,6/27/1985
5/29/1985,187.6799927,191.8500061,7.239999771,6/28/1985
5/30/1985,187.75,192.4299927,7.179999828,7/1/1985
5/31/1985,189.5500031,192.0099945,7.139999866,7/2/1985
6/3/1985,189.3200073,191.4499969,7.019999981,7/3/1985
6/4/1985,190.0399933,192.5200043,6.960000038,7/5/1985
6/5/1985,190.1600037,191.9299927,6.920000076,7/8/1985
6/6/1985,191.0599976,191.0500031,6.980000019,7/9/1985
6/7/1985,189.6799927,192.3699951,7.150000095,7/10/1985
6/10/1985,189.5099945,192.9400024,7.230000019,7/11/1985
6/11/1985,189.0399933,193.2899933,7.150000095,7/12/1985
6/12/1985,187.6100006,192.7200012,7.090000153,7/15/1985
6/13/1985,185.3300018,194.7200012,6.96999979,7/16/1985
6/14/1985,187.1000061,195.6499939,6.699999809,7/17/1985
6/17/1985,186.5299988,194.3800049,6.769999981,7/18/1985
6/18/1985,187.3399963,195.1300049,6.659999847,7/19/1985
6/19/1985,186.6300049,194.3500061,6.739999771,7/22/1985
6/20/1985,186.7299957,192.5500031,6.829999924,7/23/1985
6/21/1985,189.6100006,191.5800018,7.039999962,7/24/1985
6/24/1985,189.1499939,192.0599976,7.059999943,7/25/1985
6/25/1985,189.7400055,192.3999939,7.090000153,7/26/1985
6/26/1985,190.0599976,189.6000061,6.989999771,7/29/1985
6/27/1985,191.2299957,189.9299927,6.900000095,7/30/1985
6/28/1985,191.8500061,190.9199982,6.829999924,7/31/1985
7/1/1985,192.4299927,192.1100006,6.869999886,8/1/1985
7/2/1985,192.0099945,191.4799957,6.949999809,8/2/1985
7/3/1985,191.4499969,190.6199951,7.019999981,8/5/1985
7/5/1985,192.5200043,187.9299927,6.769999981,8/6/1985
7/8/1985,191.9299927,187.6799927,6.920000076,8/7/1985
7/9/1985,191.0500031,188.9499969,6.960000038,8/8/1985
7/10/1985,192.3699951,188.3200073,6.940000057,8/9/1985
7/11/1985,192.9400024,187.6300049,7.050000191,8/12/1985
7/12/1985,193.2899933,187.3000031,7.090000153,8/13/1985
7/15/1985,192.7200012,187.4100037,7.039999962,8/14/1985
7/16/1985,194.7200012,187.2599945,7.0,8/15/1985
7/17/1985,195.6499939,186.1000061,6.989999771,8/16/1985
7/18/1985,194.3800049,186.3800049,7.150000095,8/19/1985
7/19/1985,195.1300049,188.0800018,7.159999847,8/20/1985
7/22/1985,194.3500061,189.1600037,7.239999771,8/21/1985
7/23/1985,192.5500031,187.3600006,7.260000229,8/22/1985
7/24/1985,191.5800018,187.1699982,7.239999771,8/23/1985
7/25/1985,192.0599976,187.3099976,7.170000076,8/26/1985
7/26/1985,192.3999939,188.1000061,7.190000057,8/27/1985
7/29/1985,189.6000061,188.8300018,7.25,8/28/1985
7/30/1985,189.9299927,188.9299927,7.28000021,8/29/1985
7/31/1985,190.9199982,188.6300049,7.28000021,8/30/1985
8/1/1985,192.1100006,187.9100037,7.269999981,9/3/1985
8/2/1985,191.4799957,187.3699951,7.309999943,9/4/1985
8/5/1985,190.6199951,187.2700043,7.269999981,9/5/1985
8/6/1985,187.9299927,188.2400055,7.260000229,9/6/1985
8/7/1985,187.6799927,188.25,7.179999828,9/9/1985
8/8/1985,188.9499969,186.8999939,7.170000076,9/10/1985
8/9/1985,188.3200073,185.0299988,7.159999847,9/11/1985
8/12/1985,187.6300049,183.6900024,7.099999905,9/12/1985
8/13/1985,187.3000031,182.9100037,7.139999866,9/13/1985
8/14/1985,187.4100037,182.8800049,7.090000153,9/16/1985
8/15/1985,187.2599945,181.3600006,7.190000057,9/17/1985
8/16/1985,186.1000061,181.7100067,7.110000134,9/18/1985
8/19/1985,186.3800049,183.3899994,7.130000114,9/19/1985
8/20/1985,188.0800018,182.0500031,7.119999886,9/20/1985
8/21/1985,189.1600037,184.3000031,7.039999962,9/23/1985
8/22/1985,187.3600006,182.6199951,7.03000021,9/24/1985
8/23/1985,187.1699982,180.6600037,7.039999962,9/25/1985
8/26/1985,187.3099976,181.2899933,7.070000172,9/26/1985
8/27/1985,188.1000061,182.0800018,7.050000191,9/30/1985
8/28/1985,188.8300018,185.0700073,7.059999943,10/1/1985
8/29/1985,188.9299927,184.0599976,7.039999962,10/2/1985
8/30/1985,188.6300049,184.3600006,7.139999866,10/3/1985
9/3/1985,187.9100037,183.2200012,7.110000134,10/4/1985
9/4/1985,187.3699951,181.8699951,7.050000191,10/7/1985
9/5/1985,187.2700043,181.8699951,7.130000114,10/8/1985
9/6/1985,188.2400055,182.5200043,7.260000229,10/9/1985
9/9/1985,188.25,182.7799988,7.25,10/10/1985
9/10/1985,186.8999939,184.2799988,7.230000019,10/11/1985
9/11/1985,185.0299988,186.0800018,7.239999771,10/15/1985
9/12/1985,183.6900024,187.9799957,7.239999771,10/16/1985
9/13/1985,182.9100037,187.6600037,7.210000038,10/17/1985
9/16/1985,182.8800049,187.0399933,7.179999828,10/18/1985
9/17/1985,181.3600006,186.9600067,7.199999809,10/21/1985
