date,GSPC,lead_GSPC_1,rfr,lead_date_1
1/31/1985,179.6300049,181.1799927,8.050000191,2/28/1985
2/28/1985,181.1799927,180.6600037,8.5,3/29/1985
3/29/1985,180.6600037,179.8300018,8.180000305,4/30/1985
4/30/1985,179.8300018,189.5500031,7.849999905,5/31/1985
5/31/1985,189.5500031,191.8500061,7.139999866,6/28/1985
6/28/1985,191.8500061,190.9199982,6.829999924,7/31/1985
7/31/1985,190.9199982,188.6300049,7.28000021,8/30/1985
8/30/1985,188.6300049,182.0800018,7.139999866,9/30/1985
9/30/1985,182.0800018,189.8200073,7.039999962,10/31/1985
10/31/1985,189.8200073,202.1699982,7.190000057,11/29/1985
11/29/1985,202.1699982,211.2799988,7.159999847,12/31/1985
12/31/1985,211.2799988,211.7799988,7.050000191,1/31/1986
1/31/1986,211.7799988,226.9199982,6.96999979,2/28/1986
2/28/1986,226.9199982,238.8999939,7.019999981,3/31/1986
3/31/1986,238.8999939,235.5200043,6.340000153,4/30/1986
4/30/1986,235.5200043,247.3500061,6.099999905,5/30/1986
5/30/1986,247.3500061,250.8399963,6.300000191,6/30/1986
6/30/1986,250.8399963,236.1199951,5.960000038,7/31/1986
7/31/1986,236.1199951,252.9299927,5.789999962,8/29/1986
8/29/1986,252.9299927,231.3200073,5.170000076,9/30/1986
9/30/1986,231.3200073,243.9799957,5.199999809,10/31/1986
10/31/1986,243.9799957,249.2200012,5.199999809,11/28/1986
11/28/1986,249.2200012,242.1699982,5.389999866,12/31/1986
12/31/1986,242.1699982,274.0799866,5.670000076,1/30/1987
1/30/1987,274.0799866,284.2000122,5.599999905,2/27/1987
2/27/1987,284.2000122,291.7000122,5.449999809,3/31/1987
3/31/1987,291.7000122,288.3599854,5.610000134,4/30/1987
4/30/1987,288.3599854,290.1000061,5.53000021,5/29/1987
5/29/1987,290.1000061,304.0,5.679999828,6/30/1987
6/30/1987,304.0,318.6600037,5.730000019,7/31/1987
7/31/1987,318.6600037,329.7999878,6.070000172,8/31/1987
8/31/1987,329.7999878,321.8299866,6.25,9/30/1987
9/30/1987,321.8299866,251.7899933,6.610000134,10/30/1987
10/30/1987,251.7899933,230.3000031,5.269999981,11/30/1987
11/30/1987,230.3000031,247.0800018,5.210000038,12/31/1987
12/31/1987,247.0800018,257.0700073,5.679999828,1/29/1988
1/29/1988,257.0700073,267.8200073,5.639999866,2/29/1988
2/29/1988,267.8200073,258.8900146,5.619999886,3/31/1988
3/31/1988,258.8900146,261.3299866,5.710000038,4/29/1988
4/29/1988,261.3299866,262.1600037,5.980000019,5/31/1988
5/31/1988,262.1600037,273.5,6.429999828,6/30/1988
6/30/1988,273.5,272.019989,6.559999943,7/29/1988
7/29/1988,272.019989,261.519989,6.949999809,8/31/1988
8/31/1988,261.519989,271.9100037,7.300000191,9/30/1988
9/30/1988,271.9100037,278.9700012,7.25,10/31/1988
10/31/1988,278.9700012,273.7000122,7.360000134,11/30/1988
11/30/1988,273.7000122,277.7200012,7.829999924,12/30/1988
12/30/1988,277.7200012,297.4700012,8.100000381,1/31/1989
1/31/1989,297.4700012,288.8599854,8.390000343,2/28/1989
2/28/1989,288.8599854,294.8699951,8.710000038,3/31/1989
3/31/1989,294.8699951,309.6400146,8.899999619,4/28/1989
4/28/1989,309.6400146,320.519989,8.409999847,5/31/1989
5/31/1989,320.519989,317.980011,8.609999657,6/30/1989
6/30/1989,317.980011,346.0799866,7.989999771,7/31/1989
7/31/1989,346.0799866,351.4500122,7.800000191,8/31/1989
8/31/1989,351.4500122,349.1499939,7.889999866,9/29/1989
9/29/1989,349.1499939,340.3599854,7.909999847,10/31/1989
10/31/1989,340.3599854,345.9899902,7.769999981,11/30/1989
11/30/1989,345.9899902,353.3999939,7.590000153,12/29/1989
12/29/1989,353.3999939,329.0799866,7.550000191,1/31/1990
1/31/1990,329.0799866,331.8900146,7.739999771,2/28/1990
2/28/1990,331.8900146,339.9400024,7.769999981,3/30/1990
3/30/1990,339.9400024,330.7999878,7.800000191,4/30/1990
4/30/1990,330.7999878,361.230011,7.789999962,5/31/1990
5/31/1990,361.230011,358.019989,7.75,6/29/1990
6/29/1990,358.019989,356.1499939,7.739999771,7/31/1990
7/31/1990,356.1499939,322.5599976,7.489999771,8/31/1990
8/31/1990,322.5599976,306.0499878,7.389999866,9/28/1990
9/28/1990,306.0499878,304.0,7.139999866,10/31/1990
10/31/1990,304.0,322.2200012,7.110000134,11/30/1990
11/30/1990,322.2200012,330.2200012,7.019999981,12/31/1990
12/31/1990,330.2200012,343.9299927,6.440000057,1/31/1991
1/31/1991,343.9299927,367.0700073,6.190000057,2/28/1991
2/28/1991,367.0700073,375.2200012,6.039999962,3/28/1991
3/28/1991,375.2200012,375.3399963,5.739999771,4/30/1991
4/30/1991,375.3399963,389.8299866,5.510000229,5/31/1991
5/31/1991,389.8299866,371.1600037,5.53000021,6/28/1991
6/28/1991,371.1600037,387.8099976,5.539999962,7/31/1991
7/31/1991,387.8099976,395.4299927,5.53000021,8/30/1991
8/30/1991,395.4299927,387.8599854,5.329999924,9/30/1991
9/30/1991,387.8599854,392.4500122,5.110000134,10/31/1991
10/31/1991,392.4500122,375.2200012,4.820000172,11/29/1991
11/29/1991,375.2200012,417.0899963,4.349999905,12/31/1991
12/31/1991,417.0899963,408.7799988,3.880000114,1/31/1992
1/31/1992,408.7799988,412.7000122,3.839999914,2/28/1992
2/28/1992,412.7000122,403.6900024,3.930000067,3/31/1992
3/31/1992,403.6900024,414.9500122,4.050000191,4/30/1992
4/30/1992,414.9500122,415.3500061,3.700000048,5/29/1992
5/29/1992,415.3500061,408.1400146,3.700000048,6/30/1992
6/30/1992,408.1400146,424.2099915,3.569999933,7/31/1992
7/31/1992,424.2099915,414.0299988,3.180000067,8/31/1992
8/31/1992,414.0299988,417.7999878,3.160000086,9/30/1992
9/30/1992,417.7999878,418.6799927,2.690000057,10/30/1992
10/30/1992,418.6799927,431.3500061,2.960000038,11/30/1992
11/30/1992,431.3500061,435.7099915,3.269999981,12/31/1992
12/31/1992,435.7099915,438.7799988,3.079999924,1/29/1993
1/29/1993,438.7799988,443.3800049,2.900000095,2/26/1993
2/26/1993,443.3800049,451.6700134,2.950000048,3/31/1993
3/31/1993,451.6700134,440.1900024,2.890000105,4/30/1993
4/30/1993,440.1900024,450.1900024,2.910000086,5/28/1993
5/28/1993,450.1900024,450.5299988,3.059999943,6/30/1993
6/30/1993,450.5299988,448.1300049,3.029999971,7/30/1993
7/30/1993,448.1300049,463.5599976,3.029999971,8/31/1993
8/31/1993,463.5599976,458.9299927,3.00999999,9/30/1993
9/30/1993,458.9299927,467.8299866,2.920000076,10/29/1993
10/29/1993,467.8299866,461.7900085,3.029999971,11/30/1993
11/30/1993,461.7900085,466.4500122,3.140000105,12/31/1993
12/31/1993,466.4500122,481.6099854,3.0,1/31/1994
1/31/1994,481.6099854,467.1400146,2.970000029,2/28/1994
2/28/1994,467.1400146,445.769989,3.359999895,3/31/1994
3/31/1994,445.769989,450.9100037,3.470000029,4/29/1994
4/29/1994,450.9100037,456.5,3.859999895,5/31/1994
5/31/1994,456.5,444.269989,4.170000076,6/30/1994
