date,index,lag_index_1,d12,e12,bm,tbl,aaa,baa,lty,ntis,infl,ltr,corpr,svar
1985-01-31,179.63,167.24,7.5733,16.5567,0.6902554458,0.0776,0.1208,0.1326,0.1127,-0.0299050052,0.0018993352,0.0364,0.0325,0.0016358537
1985-02-28,181.19,179.63,7.6167,16.4733,0.6917391609,0.0827,0.1213,0.1323,0.1209,-0.0245189175,0.0047393365,-0.0493,-0.0373,0.0007453029
1985-03-29,180.66,181.19,7.66,16.39,0.7236457791,0.0852,0.1256,0.1369,0.1181,-0.0248157693,0.0037735849,0.0307,0.0179,0.0008022605
1985-04-30,179.83,180.66,7.6867,16.13,0.7286615901,0.0795,0.1223,0.1351,0.1162,-0.022411793,0.0046992481,0.0242,0.0296,0.0004598982
1985-05-31,189.55,179.83,7.7133,15.87,0.6968929839,0.0748,0.1172,0.1315,0.1062,-0.0254809306,0.0037418148,0.0896,0.082,0.0008338607
1985-06-28,191.85,189.55,7.74,15.61,0.6864301439,0.0695,0.1094,0.124,0.1055,-0.0266075139,0.0027958993,0.0142,0.0083,0.0007415227
1985-07-31,190.92,191.85,7.7733,15.4833,0.6803220899,0.0708,0.1097,0.1243,0.1091,-0.024638663,0.0018587361,-0.018,-0.0121,0.0007186333
1985-08-30,188.63,190.92,7.8067,15.3567,0.687176258,0.0714,0.1105,0.125,0.1068,-0.0242274732,0.0018552876,0.0259,0.026,0.0006297046
1985-09-30,182.08,188.63,7.84,15.23,0.6899588298,0.071,0.1107,0.1248,0.1082,-0.0312943542,0.0027777778,-0.0021,0.0071,0.0008658483
1985-10-31,189.82,182.08,7.86,15.0233,0.6670256347,0.0716,0.1102,0.1236,0.1051,-0.0270693422,0.0036934441,0.0338,0.0329,0.0009117579
1985-11-29,202.17,189.82,7.88,14.8167,0.622703158,0.0724,0.1055,0.1199,0.1011,-0.027715873,0.0027598896,0.0401,0.037,0.0009430719
1985-12-31,211.28,202.17,7.9,14.61,0.5926926882,0.071,0.1016,0.1158,0.0956,-0.0194650815,0.0027522936,0.0541,0.0469,0.001230101
1986-01-31,211.78,211.28,7.94,14.58,0.5835173999,0.0707,0.1005,0.1144,0.0958,-0.0191717774,0.0027447392,-0.0025,0.0045,0.0019201437
1986-02-28,226.92,211.78,7.98,14.55,0.5363767217,0.0706,0.0967,0.1111,0.0841,-0.0179142569,-0.0027372263,0.1145,0.0752,0.0010893091
1986-03-31,238.9,226.92,8.02,14.52,0.5196276277,0.0656,0.09,0.105,0.0766,-0.0164196221,-0.0045745654,0.077,0.0256,0.0013737528
1986-04-30,235.52,238.9,8.0467,14.5833,0.5297144587,0.0606,0.0879,0.1019,0.0782,-0.0245847833,-0.0018382353,-0.008,0.0016,0.0024589753
1986-05-30,247.35,235.52,8.0733,14.6467,0.5035407708,0.0615,0.0909,0.1029,0.0848,-0.0218719553,0.0027624309,-0.0505,-0.0164,0.0013699394
1986-06-30,250.84,247.35,8.1,14.71,0.4992814574,0.0621,0.0913,0.1034,0.079,-0.0122932373,0.0055096419,0.0613,0.0218,0.0015965679
1986-07-31,236.12,250.84,8.1433,14.7567,0.5323014009,0.0583,0.0888,0.1016,0.0809,-0.0112860333,0.0,-0.0108,0.0031,0.0024158617
1986-08-29,252.93,236.12,8.1867,14.8033,0.497803344,0.0553,0.0872,0.1018,0.0763,-0.0096769523,0.001826484,0.0499,0.0275,0.0012606214
1986-09-30,231.32,252.93,8.23,14.85,0.5346292671,0.0521,0.0889,0.102,0.0827,-0.0051386604,0.0045578851,-0.05,-0.0114,0.0042073784
1986-10-31,243.98,231.32,8.2467,14.7267,0.5032458023,0.0518,0.0886,0.1024,0.0803,-0.0080245039,0.000907441,0.0289,0.0189,0.0009906128
1986-11-28,249.22,243.98,8.2633,14.6033,0.4936710845,0.0535,0.0868,0.1007,0.0779,-0.0021244383,0.0009066183,0.0267,0.0233,0.0017308775
1986-12-31,242.17,249.22,8.28,14.48,0.4984308658,0.0553,0.0849,0.0997,0.0789,-0.0113759993,0.0009057971,-0.0018,0.0117,0.0012623237
1987-01-30,274.08,242.17,8.3,14.6867,0.4378973513,0.0543,0.0836,0.0972,0.0778,-0.0058406587,0.0063348416,0.0161,0.0216,0.0024782853
1987-02-27,284.2,274.08,8.32,14.8933,0.4249119825,0.0559,0.0838,0.0965,0.0763,-0.0045059361,0.0035971223,0.0202,0.0058,0.0014122642
1987-03-31,291.7,284.2,8.34,15.1,0.4280402137,0.0559,0.0836,0.0961,0.0795,-0.0022174302,0.0044802867,-0.0223,-0.0087,0.001971102
1987-04-30,288.36,291.7,8.4,14.8733,0.4314718592,0.0564,0.0885,0.1004,0.0859,0.0044930045,0.005352364,-0.0473,-0.0502,0.0041938375
1987-05-29,290.1,288.36,8.46,14.6467,0.4304908862,0.0566,0.0933,0.1051,0.088,0.0069409582,0.0035492458,-0.0105,-0.0052,0.002489211
1987-06-30,304.0,290.1,8.52,14.42,0.4078923974,0.0567,0.0932,0.1052,0.0877,0.0052024616,0.0035366932,0.0098,0.0155,0.0010703865
1987-07-31,318.66,304.0,8.5667,14.9,0.3835432162,0.0569,0.0942,0.1061,0.0907,0.0018821969,0.0026431718,-0.0178,-0.0119,0.0008181618
1987-08-31,329.8,318.66,8.6133,15.38,0.37045382,0.0604,0.0967,0.108,0.0936,0.0019974361,0.0052724077,-0.0165,-0.0075,0.001776142
1987-09-30,321.83,329.8,8.66,15.86,0.3799667216,0.064,0.1018,0.1131,0.0992,0.0063503319,0.0052447552,-0.0369,-0.0422,0.0025348271
1987-10-30,251.79,321.83,8.71,16.4067,0.4948508425,0.0613,0.1052,0.1162,0.0926,0.0104777401,0.0026086957,0.0623,0.0507,0.0709451038
1987-11-30,230.3,251.79,8.76,16.9533,0.538027324,0.0569,0.1001,0.1123,0.0931,0.0098984399,0.0008673027,0.0037,0.0125,0.0067855095
1987-12-31,247.08,230.3,8.81,17.5,0.5088120155,0.0577,0.1011,0.1129,0.092,0.013274756,0.0,0.0165,0.0212,0.006852202
1988-01-29,257.07,247.08,8.8567,17.8633,0.5037738354,0.0581,0.0988,0.1107,0.0852,0.0084227445,0.0025996534,0.0666,0.0517,0.0091575845
1988-02-29,267.82,257.07,8.9033,18.2267,0.4761973721,0.0566,0.094,0.1062,0.0854,0.0087922636,0.0025929127,0.0052,0.0138,0.0019673518
1988-03-31,258.89,267.82,8.95,18.59,0.5075299538,0.057,0.0939,0.1057,0.0901,0.0060800302,0.0043103448,-0.0307,-0.0188,0.0016591879
1988-04-29,261.33,258.89,9.0433,19.6167,0.4964744899,0.0591,0.0967,0.109,0.0929,0.0050636719,0.0051502146,-0.016,-0.0149,0.0034595789
1988-05-31,262.16,261.33,9.1367,20.6433,0.4967702548,0.0626,0.099,0.1104,0.0952,0.0013473054,0.0034158839,-0.0102,-0.0057,0.0025557475
1988-06-30,273.5,262.16,9.23,21.67,0.4711188723,0.0646,0.0986,0.11,0.0917,-0.0053979214,0.0042553191,0.0368,0.0379,0.0023613319
1988-07-29,272.02,273.5,9.3067,22.0233,0.4739915349,0.0673,0.0996,0.1111,0.0947,-0.0028231284,0.0042372881,-0.017,-0.0111,0.0019106231
1988-08-31,261.52,272.02,9.3833,22.3767,0.4966406615,0.0706,0.1011,0.1121,0.095,-0.0062397522,0.0042194093,0.0058,0.0054,0.0013903256
1988-09-30,271.91,261.52,9.46,22.73,0.4775404537,0.0724,0.0982,0.109,0.0917,-0.0100015137,0.0067226891,0.0345,0.0326,0.0011927511
1988-10-31,278.97,271.91,9.5567,23.07,0.4695971889,0.0735,0.0951,0.1041,0.0889,-0.0104624725,0.0033388982,0.0308,0.0273,0.0016315103
1988-11-30,273.7,278.97,9.6533,23.41,0.4771791101,0.0776,0.0945,0.1048,0.0923,-0.0077649556,0.0008319468,-0.0196,-0.0169,0.001348001
1988-12-30,277.72,273.7,9.75,23.75,0.465283574,0.0807,0.0957,0.1065,0.0918,-0.0214057475,0.0016625104,0.011,0.0039,0.000628121
1989-01-31,297.47,277.72,9.837,24.1533,0.4307694935,0.0827,0.0962,0.1065,0.0903,-0.0223605106,0.0049792531,0.0203,0.0202,0.0009645843
1989-02-28,288.86,297.47,9.924,24.5567,0.4467784572,0.0853,0.0964,0.1061,0.0935,-0.024823372,0.0041288192,-0.0179,-0.0129,0.0011760704
1989-03-31,294.87,288.86,10.011,24.96,0.4686914136,0.0882,0.098,0.1067,0.0929,-0.0231021339,0.0057565789,0.0122,0.0064,0.0012864514
1989-04-28,309.64,294.87,10.13,25.0467,0.4444352572,0.0865,0.0979,0.1061,0.0918,-0.0228019666,0.0065412919,0.0159,0.0213,0.0009556104
1989-05-31,320.52,309.64,10.249,25.1333,0.4334415257,0.0843,0.0957,0.1046,0.0878,-0.0280362535,0.0056864338,0.0401,0.0379,0.0010730567
1989-06-30,317.98,320.52,10.368,25.22,0.440562937,0.0815,0.091,0.1003,0.0821,-0.0239366405,0.0024232633,0.055,0.0395,0.0014295365
1989-07-31,346.08,317.98,10.49,24.71,0.404035089,0.0788,0.0893,0.0987,0.0801,-0.0285255915,0.0024174053,0.0238,0.0178,0.0010188229
1989-08-31,351.45,346.08,10.612,24.2,0.3927270602,0.079,0.0896,0.0988,0.0841,-0.0248117061,0.001607717,-0.0259,-0.0163,0.0013804584
1989-09-29,349.15,351.45,10.734,23.69,0.3992097504,0.0775,0.0901,0.0991,0.0847,-0.0257365885,0.0032102729,0.0019,0.004,0.0005502051
1989-10-31,340.36,349.15,10.841,23.4167,0.4064149288,0.0764,0.0892,0.0981,0.081,-0.0243398197,0.0048,0.0379,0.0276,0.0056359504
1989-11-30,345.99,340.36,10.948,23.1433,0.3972257018,0.0769,0.0889,0.0981,0.0808,-0.0270221107,0.002388535,0.0078,0.007,0.0008448164
