date,index,lag_index_1,d12,e12,bm,tbl,aaa,baa,lty,ntis,infl,ltr,corpr,svar
1985-03-29,180.66,167.24,7.66,16.39,0.7236457791,0.0852,0.1256,0.1369,0.1181,-0.0248157693,0.0104463438,0.0155543582,0.0117801307,0.0031834171
1985-06-28,191.85,180.66,7.74,15.61,0.6864301439,0.0695,0.1094,0.124,0.1055,-0.0266075139,0.0112781955,0.1318150701,0.1232736258,0.0020352816
1985-09-30,182.08,191.85,7.84,15.23,0.6899588298,0.071,0.1107,0.1248,0.1082,-0.0312943542,0.0065055762,0.005318189,0.0207818563,0.0022141862
1985-12-31,211.28,182.08,7.9,14.61,0.5926926882,0.071,0.1016,0.1158,0.0956,-0.0194650815,0.0092336103,0.1334266961,0.1213527014,0.0030849308
1986-03-31,238.90,211.28,8.02,14.52,0.5196276277,0.0656,0.09,0.105,0.0766,-0.0164196221,-0.0045745654,0.1973157088,0.107687383,0.0043832056
1986-06-30,250.84,238.90,8.1,14.71,0.4992814574,0.0621,0.0913,0.1034,0.079,-0.0122932373,0.0064338235,-0.0003572848,0.006650548,0.0054254826
1986-09-30,231.32,250.84,8.23,14.85,0.5346292671,0.0521,0.0889,0.102,0.0827,-0.0051386604,0.0063926941,-0.013366974,0.0189354382,0.0078838615
1986-12-31,242.17,231.32,8.28,14.48,0.4984308658,0.0553,0.0849,0.0997,0.0789,-0.0113759993,0.002722323,0.0544701611,0.0548392623,0.003983814
1987-03-31,291.70,242.17,8.34,15.1,0.4280402137,0.0559,0.0836,0.0961,0.0795,-0.0022174302,0.014479638,0.0135084776,0.0185858101,0.0058616516
1987-06-30,304.00,291.70,8.52,14.42,0.4078923974,0.0567,0.0932,0.1052,0.0877,0.0052024616,0.0124888492,-0.0480649228,-0.0404936139,0.0077534351
1987-09-30,321.83,304.00,8.66,15.86,0.3799667216,0.064,0.1018,0.1131,0.0992,0.0063503319,0.013215859,-0.0696514675,-0.0606958364,0.0051291309
1987-12-31,247.08,321.83,8.81,17.5,0.5088120155,0.0577,0.1011,0.1129,0.092,0.013274756,0.0034782609,0.0838233134,0.0863870255,0.0845828152
1988-03-31,258.89,247.08,8.95,18.59,0.5075299538,0.057,0.0939,0.1057,0.0901,0.0060800302,0.0095320624,0.039231428,0.046168647,0.0127841242
1988-06-30,273.50,258.89,9.23,21.67,0.4711188723,0.0646,0.0986,0.11,0.0917,-0.0053979214,0.0128755365,0.0098050458,0.0166074088,0.0083766583
1988-09-30,271.91,273.50,9.46,22.73,0.4775404537,0.0724,0.0982,0.109,0.0917,-0.0100015137,0.0152542373,0.0228115983,0.026652286,0.0044936998
1988-12-30,277.72,271.91,9.75,23.75,0.465283574,0.0807,0.0957,0.1065,0.0918,-0.0214057475,0.0058430718,0.0217128795,0.0138773907,0.0036076323
1989-03-31,294.87,277.72,10.011,24.96,0.4686914136,0.0882,0.098,0.1067,0.0929,-0.0231021339,0.0149377593,0.0142614769,0.0134844723,0.0034271061
1989-06-30,317.98,294.87,10.368,25.22,0.440562937,0.0815,0.091,0.1003,0.0821,-0.0239366405,0.0147179068,0.1147526575,0.1018775572,0.0034582035
1989-09-29,349.15,317.98,10.734,23.69,0.3992097504,0.0775,0.0901,0.0991,0.0847,-0.0257365885,0.007252216,-0.0008215812,0.0052146994,0.0029494864
1989-12-29,353.40,349.15,11.055,22.87,0.3904547436,0.0763,0.0886,0.0982,0.0816,-0.0123231067,0.0088,0.0453680226,0.0354140759,0.0074042095
1990-03-30,339.94,353.40,11.318,21.67,0.4713339564,0.079,0.0937,0.1021,0.0889,-0.0102754607,0.0206185567,-0.0409527073,-0.0213547752,0.0049329271
1990-06-29,358.02,339.94,11.663,21.26,0.4429494323,0.0773,0.0926,0.1022,0.0864,-0.0004741595,0.0093240093,0.0439323191,0.0406678064,0.0036790699
1990-09-28,306.05,358.02,11.834,21.74,0.520289666,0.0736,0.0956,0.1064,0.0914,0.0013916129,0.0215550423,-0.0203186155,-0.0103734503,0.0091110453
1990-12-31,330.22,306.05,12.086,21.34,0.4844968599,0.0674,0.0905,0.1043,0.0844,-0.0018284693,0.0082893745,0.0824342524,0.0594788725,0.0077272896
1991-03-28,375.22,330.22,12.11,20.94,0.4571255997,0.0591,0.0893,0.1009,0.0844,0.003262045,0.0089686099,0.0198999482,0.0383761402,0.0069999484
1991-06-28,371.16,375.22,12.147,19.41,0.458243743,0.0557,0.0901,0.0996,0.086,0.0140821721,0.0074074074,0.0076118,0.0159218631,0.0048378748
1991-09-30,387.86,371.16,12.275,17.82,0.441531837,0.0522,0.0861,0.0951,0.079,0.0229915359,0.0088235294,0.0820558841,0.0729695157,0.0036176972
1991-12-31,417.09,387.86,12.203,15.97,0.4203444173,0.0407,0.0831,0.0926,0.073,0.0315377294,0.0051020408,0.0725370127,0.0591972073,0.0052241858
1992-03-31,403.69,417.09,12.324,16.19,0.4021060342,0.0404,0.0835,0.0925,0.0797,0.0416282636,0.0101522843,-0.0366070667,-0.0151086576,0.0022554511
1992-06-30,408.14,403.69,12.32,17.05,0.3920423538,0.0366,0.0822,0.0905,0.0765,0.0429366245,0.0064608758,0.0464576576,0.043062474,0.0031040039
1992-09-30,417.80,408.14,12.395,18.04,0.3976569721,0.0291,0.0792,0.0862,0.071,0.0411349836,0.0078459344,0.0661318432,0.0503739643,0.002139251
1992-12-31,435.71,417.80,12.385,19.09,0.3941096142,0.0322,0.0798,0.0881,0.0726,0.03871373,0.0042462845,0.0053172329,0.0137915458,0.0019237884
1993-03-31,451.67,435.71,12.479,19.84,0.3336135264,0.0295,0.0758,0.0815,0.0702,0.0369950189,0.0119802678,0.0666264215,0.0538681,0.0025004412
1993-06-30,450.53,451.67,12.523,19.33,0.3259312476,0.0307,0.0733,0.0807,0.0668,0.0410478926,0.0055710306,0.0573696694,0.0367216647,0.0023959182
1993-09-30,458.93,450.53,12.519,20.41,0.3223518215,0.0295,0.0666,0.0734,0.0627,0.0417473699,0.0048476454,0.0638606045,0.0434546441,0.0013612038
1993-12-31,466.45,458.93,12.577,21.89,0.3052672229,0.0306,0.0693,0.0769,0.0654,0.0457468047,0.0048242591,-0.0145817373,-0.0071883124,0.0011602191
1994-03-31,445.77,466.45,12.707,22.71,0.3074838051,0.035,0.0748,0.0813,0.0725,0.0419154208,0.0096021948,-0.0591484683,-0.0469338733,0.002341705
1994-06-30,444.27,445.77,12.835,25.2,0.3084170767,0.0414,0.0797,0.0865,0.0774,0.0340103517,0.0054347826,-0.03284623,-0.0238115571,0.0029212785
1994-09-30,462.71,444.27,12.923,27.33,0.2909046586,0.0462,0.0834,0.0898,0.08,0.0290191161,0.0094594595,-0.0066187168,0.0004700484,0.0016895243
1994-12-30,459.27,462.71,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.0166016236,0.0020080321,0.0202492444,0.0124406187,0.002699731
1995-03-31,500.71,459.27,13.17,32.55,0.3138765419,0.0573,0.0812,0.087,0.0755,0.0144031801,0.0113560454,0.0664002399,0.0652646185,0.0012461398
1995-06-30,544.75,500.71,13.361,34.43,0.2864296179,0.0547,0.073,0.079,0.067,0.0082728997,0.0072655218,0.1124866679,0.0902497136,0.0019651736
1995-09-29,584.41,544.75,13.575,35.18,0.2724949976,0.0528,0.0732,0.0793,0.0663,0.0063774144,0.0045901639,0.0240155816,0.0265534431,0.0013614246
1995-12-29,615.93,584.41,13.788,33.96,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.0155287852,0.0019582245,0.083728932,0.0669314676,0.0018545378
1996-03-29,645.50,615.93,14.104,34.04,0.2392996154,0.0496,0.0735,0.0803,0.0684,0.0168940074,0.0143322476,-0.0693105857,-0.0484848411,0.0043932744
1996-06-28,670.63,645.50,14.273,34.91,0.2364437252,0.0509,0.0771,0.084,0.0703,0.0271937407,0.0064226076,-0.0019536613,0.0014252624,0.0025019363
1996-09-30,687.31,670.63,14.664,36.0,0.2272973181,0.0509,0.0766,0.0835,0.0704,0.0295537136,0.007019783,0.0165233544,0.0197374187,0.004162893
1996-12-31,740.74,687.31,14.899,38.73,0.2073427297,0.0491,0.072,0.0789,0.0673,0.0240975605,0.0050697085,0.0493489382,0.0435711306,0.0030194243
1997-03-31,757.12,740.74,15.059,40.24,0.2147802023,0.0514,0.0755,0.0818,0.0723,0.0211198386,0.0088272383,-0.0324173705,-0.0221076667,0.0048363311
1997-06-30,885.14,757.12,15.161,40.55,0.184287615,0.0493,0.0741,0.0802,0.0688,0.0108474777,0.001875,0.0556385733,0.0507233642,0.00698692
1997-09-30,947.28,885.14,15.333,40.64,0.177967857,0.0495,0.0715,0.077,0.0649,0.0146506387,0.0056144729,0.0614293123,0.0507550413,0.0071014066
1997-12-31,970.43,947.28,15.497,39.72,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.0155787276,0.0006203474,0.0687137261,0.0461720144,0.0142752187
1998-03-31,"1,101.75",970.43,15.641,39.54,0.181140396,0.0503,0.0672,0.0732,0.0602,0.0165051128,0.0055796652,0.01518764,0.0168397736,0.0046590418
1998-06-30,"1,133.84","1,101.75",15.95,38.97,0.178060606,0.0498,0.0653,0.0713,0.0576,0.0240305882,0.0049321825,0.0441226389,0.0338425279,0.0046709124
1998-09-30,"1,017.01","1,133.84",16.143,38.09,0.2032484042,0.0461,0.064,0.0709,0.0517,0.0240925221,0.0036809816,0.083485403,0.0446843916,0.0215331107
1998-12-31,"1,229.23","1,017.01",16.195,37.71,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.0200632552,0.0018337408,-0.0154720633,0.008494487,0.0103952366
1999-03-31,"1,286.37","1,229.23",16.449,38.38,0.1728971707,0.0444,0.0662,0.0753,0.0592,0.0206772204,0.0067114094,-0.0412967766,-0.0280988886,0.0100313057
1999-06-30,"1,372.71","1,286.37",16.448,41.02,0.1542274468,0.0457,0.0723,0.0802,0.0627,0.0188750654,0.0072727273,-0.024110627,-0.0356384358,0.0082215328
1999-09-30,"1,282.71","1,372.71",16.641,43.96,0.1636844982,0.0468,0.0739,0.082,0.0646,0.0203906807,0.0102286402,-0.0046680472,-0.0046996168,0.007046005
1999-12-31,"1,469.25","1,282.71",16.692,48.17,0.1471672594,0.052,0.0755,0.0819,0.0682,0.0179001767,0.0023823705,-0.0226796435,-0.0079346249,0.0073789637
2000-03-31,"1,498.58","1,469.25",16.762,50.95,0.1499735618,0.0569,0.0768,0.0837,0.0618,0.0183014257,0.0172311349,0.0883296505,0.0241003435,0.0148851161
2000-06-30,"1,454.60","1,498.58",16.704,51.92,0.1567779616,0.0569,0.0767,0.0848,0.0622,0.0071410264,0.0070093458,0.0111248414,0.0042914259,0.0154869621
2000-09-29,"1,436.51","1,454.60",16.347,53.7,0.1537894629,0.06,0.0762,0.0835,0.0612,0.0044838585,0.0075406032,0.0253602714,0.0363872016,0.0047047293
2000-12-29,"1,320.28","1,436.51",16.271,50.0,0.1518515036,0.0577,0.0721,0.0802,0.0558,-0.0022502465,0.0017271157,0.0767406057,0.0587531454,0.0141398687
2001-03-30,"1,160.33","1,320.28",15.973,45.44,0.1331135514,0.0442,0.0698,0.0784,0.0559,-0.0051995393,0.0126436782,0.0120644393,0.0460136678,0.014609127
2001-06-29,"1,224.42","1,160.33",15.686,36.79,0.1252094328,0.0349,0.0718,0.0797,0.059,0.0050429431,0.010215664,-0.0194513944,0.0057323107,0.011470826
2001-09-28,"1,040.94","1,224.42",15.736,28.31,0.1486285882,0.0264,0.0717,0.0803,0.0542,0.0086538503,0.0016853933,0.0675522539,0.03626876,0.0122886671
2001-12-31,"1,148.08","1,040.94",15.74,24.69,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0134699167,-0.0089736399,-0.0211326364,0.014861734,0.0072370634
2002-03-28,"1,147.39","1,148.08",15.73,24.7,0.2368334023,0.0179,0.0681,0.0811,0.0604,0.0137640686,0.0118845501,-0.0192512993,0.0003210388,0.0067665453
2002-06-28,989.81,"1,147.39",16.039,26.74,0.2665725018,0.017,0.0663,0.0795,0.0566,0.0275349472,0.0061521253,0.0620574,0.044455157,0.0101293111
2002-09-30,815.29,989.81,15.799,30.04,0.3245551555,0.0163,0.0615,0.074,0.048,0.029309111,0.0061145081,0.1230629369,0.089840701,0.0321181305
2002-12-31,879.82,815.29,16.074,27.59,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.02573892,-0.0005524862,0.0073677451,0.0243796368,0.0186782399
2003-03-31,848.18,879.82,16.224,30.32,0.2861177008,0.0113,0.0589,0.0695,0.049,0.0241014888,0.0182421227,0.008154918,0.0203269965,0.0138678061
2003-06-30,974.51,848.18,16.165,34.55,0.2544883373,0.0092,0.0497,0.0619,0.0445,0.0012557291,-0.0027144408,0.0535257809,0.0557621662,0.0072909206
2003-09-30,995.97,974.51,16.586,38.58,0.2465417826,0.0094,0.0572,0.0679,0.0523,0.0073209622,0.0081654872,-0.0331744846,-0.0212562983,0.0048812058
2003-12-31,"1,111.92",995.97,17.385,48.74,0.2187398648,0.009,0.0562,0.066,0.0515,0.0069460961,-0.0048596112,-0.0174534279,-0.0015169173,0.003220908
2004-03-31,"1,126.21","1,111.92",18.024,52.0,0.2817314655,0.0094,0.0533,0.0611,0.0474,0.0122458054,0.0168204015,0.0568241344,0.0490674877,0.0035707934
2004-06-30,"1,140.84","1,126.21",18.602,56.15,0.279631603,0.0127,0.0601,0.0678,0.0532,0.0144483006,0.0122732124,-0.0522696815,-0.051379984,0.0029793061
2004-09-30,"1,114.58","1,140.84",19.163,57.77,0.2894853015,0.0165,0.0546,0.0627,0.0488,0.0090860657,0.0010542963,0.0657461276,0.0693189307,0.002925606
2004-12-31,"1,211.92","1,114.58",19.442,58.55,0.2706192427,0.0219,0.0547,0.0615,0.0484,0.0129602109,0.0021063718,0.016430631,0.0216710504,0.0028157301
2005-03-31,"1,180.59","1,211.92",20.225,60.22,0.3198568893,0.0274,0.054,0.0606,0.0488,0.0090900057,0.0157645822,0.0094949248,0.003487388,0.0025157385
2005-06-30,"1,191.33","1,180.59",20.925,63.26,0.3269790569,0.0297,0.0496,0.0586,0.0429,0.0053659598,0.0062079669,0.0859452104,0.0781552716,0.0032273958
2005-09-30,"1,228.81","1,191.33",21.471,66.47,0.3178915098,0.0342,0.0513,0.0603,0.0464,0.0067287092,0.0221079692,-0.0303787244,-0.0326167959,0.0020065133
2005-12-30,"1,248.29","1,228.81",22.216,69.83,0.3134779566,0.0389,0.0537,0.0632,0.0461,0.0030712058,-0.0100603622,0.0142266628,0.0115572459,0.002790881
2006-03-31,"1,294.83","1,248.29",22.784,72.67,0.3160094407,0.0451,0.0553,0.0641,0.0507,0.0021608169,0.0152439024,-0.0428125027,-0.0371556308,0.0021691768
2006-06-30,"1,270.20","1,294.83",23.437,74.49,0.3148502899,0.0479,0.0589,0.0678,0.0531,-0.0021864728,0.0155155155,-0.0147429672,-0.0205501853,0.00405777
2006-09-29,"1,335.85","1,270.20",24.096,78.57,0.3005932835,0.0481,0.0551,0.0643,0.0484,-0.0094933356,0.0,0.0682517252,0.0800655669,0.0024342804
2006-12-29,"1,418.30","1,335.85",24.884,81.51,0.2816823997,0.0485,0.0532,0.0622,0.0491,-0.0150318062,-0.0054213898,0.0042853884,0.0135398119,0.0014002892
2007-03-30,"1,420.86","1,418.30",25.494,83.15,0.2690500135,0.0494,0.053,0.0627,0.0493,-0.0124806913,0.0176015857,0.0081254047,-0.0001881489,0.0035148508
2007-06-29,"1,503.35","1,420.86",26.17,84.921,0.24789561,0.0461,0.0579,0.067,0.0521,-0.0110574783,0.0146090615,-0.020663803,-0.0187892718,0.0027511223
2007-09-28,"1,526.75","1,503.35",26.978,78.601,0.2392074367,0.0389,0.0574,0.0659,0.0489,-0.013010957,0.0006623407,0.0501237982,0.0256127034,0.0094287376
2007-12-31,"1,468.36","1,526.75",27.732,66.181,0.2505829731,0.03,0.0549,0.0665,0.045,-0.0415914375,0.0074152238,0.0599426263,0.0196164747,0.0096650442
2008-03-31,"1,322.70","1,468.36",28.302,60.391,0.2540575672,0.0126,0.0551,0.0689,0.0432,-0.0528770419,0.0166257213,0.0339836064,-0.0112801388,0.0143951026
2008-06-30,"1,280.00","1,322.70",28.712,51.37,0.2744913881,0.0186,0.0568,0.0707,0.046,-0.0483725324,0.0247602188,-0.023711689,-0.0248370724,0.0079695303
2008-09-30,"1,166.36","1,280.00",28.854,45.95,0.2871235482,0.0113,0.0565,0.0731,0.0443,-0.0503141122,-0.0001462423,0.0330818624,-0.0853240679,0.0316884977
2008-12-31,903.25,"1,166.36",28.387,14.88,0.3549842247,0.0003,0.0505,0.0843,0.0303,-0.0247680042,-0.0391026725,0.2068890791,0.233587252,0.1144355244
2009-03-31,797.87,903.25,27.255,6.86,0.4461408452,0.0021,0.055,0.0842,0.0355,-0.0377581365,0.0118014727,-0.0607940129,-0.1243560813,0.042296687
2009-06-30,919.32,797.87,25.594,7.51,0.4018764058,0.0018,0.0561,0.075,0.0429,-0.022539012,0.0140285554,-0.080521631,0.0823546655,0.0174046799
2009-09-30,"1,057.08",919.32,23.901,12.54,0.3495214306,0.0012,0.0513,0.0631,0.0403,-6.33741e-05,0.0012795965,0.0430846625,0.1108479976,0.0078615462
2009-12-31,"1,115.10","1,057.08",22.405,50.97,0.3255306601,0.0005,0.0526,0.0637,0.0458,0.0105338212,-9.26059e-05,-0.0552509883,-0.0216581536,0.0068328056
2010-03-31,"1,169.43","1,115.10",21.904,60.93,0.3818781703,0.0015,0.0527,0.0627,0.0458,0.0138626995,0.0077888761,0.0111964227,0.0180388911,0.0049983977
2010-06-30,"1,030.71","1,169.43",22.037,67.1,0.4241765415,0.0012,0.0488,0.0623,0.0376,0.018726384,0.0015347078,0.1233327301,0.0839820965,0.0154933849
2010-09-30,"1,141.20","1,030.71",22.353,71.86,0.3843057828,0.0015,0.0453,0.0566,0.0341,0.0032391646,0.0021746611,0.0563754186,0.0497701326,0.0083906248
2010-12-31,"1,257.64","1,141.20",22.729,77.35,0.3581003169,0.0014,0.0502,0.061,0.0414,0.0125735064,0.0033876734,-0.0820959556,-0.0294111966,0.00365008
2011-03-31,"1,325.83","1,257.64",23.431,81.31,0.3542699394,0.001,0.0513,0.0603,0.0429,0.0124542545,0.0195639181,-0.0091163671,-0.0115791018,0.004276058
2011-06-30,"1,320.64","1,325.83",24.341,83.87,0.3515700392,0.0004,0.0499,0.0575,0.0404,0.0117181203,0.0100909754,0.0372021445,0.0281597312,0.0038654815
2011-09-30,"1,131.42","1,320.64",25.181,86.98,0.399922847,0.0001,0.0409,0.0527,0.0265,0.0130924463,0.0051700765,0.2117330899,0.134100224,0.0279686936
2011-12-30,"1,257.60","1,131.42",26.425,86.95,0.3572325407,0.0001,0.0393,0.0525,0.0248,-0.0064950914,-0.0053638563,0.0205627024,0.0233067864,0.0178444887
2012-03-30,"1,408.47","1,257.60",27.353,88.54,0.3461819674,0.0008,0.0399,0.0523,0.029,-0.0137731185,0.0164841008,-0.0490179216,-0.0058533006,0.0024271486
2012-06-29,"1,362.16","1,408.47",28.32,87.92,0.3551038851,0.0009,0.0364,0.0502,0.0225,-0.0198201448,0.0003749041,0.0927633838,0.067149766,0.0065608843
2012-09-28,"1,440.67","1,362.16",29.59,86.5,0.3403829538,0.0011,0.0349,0.0484,0.0226,-0.0181530818,0.0084060346,0.0028731522,0.0380840714,0.0033246741
2012-12-31,"1,426.19","1,440.67",31.247,86.51,0.3490324432,0.0007,0.0365,0.0463,0.0241,-0.0122580261,-0.0078044312,-0.0074823528,0.004940975,0.0038638886
2013-03-28,"1,569.19","1,426.19",32.112,87.7,0.3461299966,0.0009,0.0393,0.0485,0.0284,-0.009549838,0.0138152708,-0.0282409734,-0.024050966,0.0026340346
2013-06-28,"1,606.28","1,569.19",33.266,90.95,0.338444358,0.0005,0.0427,0.0519,0.0329,0.0001455983,0.0031403986,-0.0551945078,-0.0569074693,0.0049459307
2013-09-30,"1,681.55","1,606.28",34.404,94.37,0.3335214846,0.0002,0.0464,0.0547,0.0342,0.010143778,0.0027622653,-0.0191162163,-0.0029289921,0.0020747441
2013-12-31,"1,848.36","1,681.55",34.992,100.2,0.3044081256,0.0007,0.0462,0.0538,0.0367,0.012168529,-0.0046978633,-0.0315722669,0.0125210037,0.0028283148
2014-03-31,"1,872.34","1,848.36",36.228,100.85,0.3506160657,0.0005,0.0438,0.0506,0.0331,0.0164630726,0.0139198194,0.0692999348,0.0569689077,0.0034261958
