date,GSPC,lag_GSPC_1,lead_GSPC_1,rfr,lag_rfr_1,lag_date_1,lead_date_1
1985-01-02,165.3699951171875,167.240005493164,164.5700073242188,7.829999923706055,7.84999990463257,1984-12-31,1985-01-03
1985-01-03,164.5700073242188,165.3699951171875,163.6799926757812,7.800000190734863,7.829999923706055,1985-01-02,1985-01-04
1985-01-04,163.6799926757812,164.5700073242188,164.2400054931641,7.820000171661377,7.800000190734863,1985-01-03,1985-01-07
1985-01-07,164.2400054931641,163.6799926757812,163.9900054931641,7.78000020980835,7.820000171661377,1985-01-04,1985-01-08
1985-01-08,163.9900054931641,164.2400054931641,165.1799926757812,7.789999961853027,7.78000020980835,1985-01-07,1985-01-09
1985-01-09,165.1799926757812,163.9900054931641,168.3099975585938,7.690000057220459,7.789999961853027,1985-01-08,1985-01-10
1985-01-10,168.3099975585938,165.1799926757812,167.9100036621094,7.739999771118164,7.690000057220459,1985-01-09,1985-01-11
1985-01-11,167.9100036621094,168.3099975585938,170.5099945068359,7.760000228881836,7.739999771118164,1985-01-10,1985-01-14
1985-01-14,170.5099945068359,167.9100036621094,170.8099975585938,7.699999809265137,7.760000228881836,1985-01-11,1985-01-15
1985-01-15,170.8099975585938,170.5099945068359,171.1900024414062,7.730000019073486,7.699999809265137,1985-01-14,1985-01-16
1985-01-16,171.1900024414062,170.8099975585938,170.7299957275391,7.739999771118164,7.730000019073486,1985-01-15,1985-01-17
1985-01-17,170.7299957275391,171.1900024414062,171.3200073242188,7.739999771118164,7.739999771118164,1985-01-16,1985-01-18
1985-01-18,171.3200073242188,170.7299957275391,175.4799957275391,7.739999771118164,7.739999771118164,1985-01-17,1985-01-22
1985-01-22,175.4799957275391,171.3200073242188,177.3000030517578,7.699999809265137,7.739999771118164,1985-01-18,1985-01-23
1985-01-23,177.3000030517578,175.4799957275391,176.7100067138672,7.639999866485596,7.699999809265137,1985-01-22,1985-01-24
1985-01-24,176.7100067138672,177.3000030517578,177.3500061035156,7.619999885559082,7.639999866485596,1985-01-23,1985-01-25
1985-01-25,177.3500061035156,176.7100067138672,177.3999938964844,7.639999866485596,7.619999885559082,1985-01-24,1985-01-28
1985-01-28,177.3999938964844,177.3500061035156,179.1799926757812,7.71999979019165,7.639999866485596,1985-01-25,1985-01-29
1985-01-29,179.1799926757812,177.3999938964844,179.3899993896484,7.820000171661377,7.71999979019165,1985-01-28,1985-01-30
1985-01-30,179.3899993896484,179.1799926757812,179.6300048828125,7.829999923706055,7.820000171661377,1985-01-29,1985-01-31
1985-01-31,179.6300048828125,179.3899993896484,178.6300048828125,8.050000190734863,7.829999923706055,1985-01-30,1985-02-01
1985-02-01,178.6300048828125,179.6300048828125,180.3500061035156,8.1899995803833,8.050000190734863,1985-01-31,1985-02-04
1985-02-04,180.3500061035156,178.6300048828125,180.6100006103516,8.180000305175781,8.1899995803833,1985-02-01,1985-02-05
1985-02-05,180.6100006103516,180.3500061035156,180.4299926757812,8.140000343322754,8.180000305175781,1985-02-04,1985-02-06
1985-02-06,180.4299926757812,180.6100006103516,181.8200073242188,8.119999885559082,8.140000343322754,1985-02-05,1985-02-07
1985-02-07,181.8200073242188,180.4299926757812,182.1900024414062,8.170000076293945,8.119999885559082,1985-02-06,1985-02-08
1985-02-08,182.1900024414062,181.8200073242188,180.5099945068359,8.229999542236328,8.170000076293945,1985-02-07,1985-02-11
1985-02-11,180.5099945068359,182.1900024414062,183.3500061035156,8.210000038146973,8.229999542236328,1985-02-08,1985-02-13
1985-02-13,183.3500061035156,180.5099945068359,182.4100036621094,8.239999771118164,8.210000038146973,1985-02-11,1985-02-14
1985-02-14,182.4100036621094,183.3500061035156,181.6000061035156,8.1899995803833,8.239999771118164,1985-02-13,1985-02-15
1985-02-15,181.6000061035156,182.4100036621094,181.3300018310547,8.1899995803833,8.1899995803833,1985-02-14,1985-02-19
1985-02-19,181.3300018310547,181.6000061035156,181.1799926757812,8.170000076293945,8.1899995803833,1985-02-15,1985-02-20
1985-02-20,181.1799926757812,181.3300018310547,180.1900024414062,8.239999771118164,8.170000076293945,1985-02-19,1985-02-21
1985-02-21,180.1900024414062,181.1799926757812,179.3600006103516,8.430000305175781,8.239999771118164,1985-02-20,1985-02-22
1985-02-22,179.3600006103516,180.1900024414062,179.2299957275391,8.390000343322754,8.430000305175781,1985-02-21,1985-02-25
1985-02-25,179.2299957275391,179.3600006103516,181.1699981689453,8.380000114440918,8.390000343322754,1985-02-22,1985-02-26
1985-02-26,181.1699981689453,179.2299957275391,180.7100067138672,8.350000381469727,8.380000114440918,1985-02-25,1985-02-27
1985-02-27,180.7100067138672,181.1699981689453,181.1799926757812,8.449999809265137,8.350000381469727,1985-02-26,1985-02-28
1985-02-28,181.1799926757812,180.7100067138672,183.2299957275391,8.5,8.449999809265137,1985-02-27,1985-03-01
1985-03-01,183.2299957275391,181.1799926757812,182.0599975585938,8.65999984741211,8.5,1985-02-28,1985-03-04
1985-03-04,182.0599975585938,183.2299957275391,182.2299957275391,8.699999809265137,8.65999984741211,1985-03-01,1985-03-05
1985-03-05,182.2299957275391,182.0599975585938,180.6499938964844,8.680000305175781,8.699999809265137,1985-03-04,1985-03-06
1985-03-06,180.6499938964844,182.2299957275391,179.5099945068359,8.6899995803833,8.680000305175781,1985-03-05,1985-03-07
1985-03-07,179.5099945068359,180.6499938964844,179.1000061035156,8.800000190734863,8.6899995803833,1985-03-06,1985-03-08
1985-03-08,179.1000061035156,179.5099945068359,178.7899932861328,8.579999923706055,8.800000190734863,1985-03-07,1985-03-11
1985-03-11,178.7899932861328,179.1000061035156,179.6600036621094,8.470000267028809,8.579999923706055,1985-03-08,1985-03-12
1985-03-12,179.6600036621094,178.7899932861328,178.1900024414062,8.539999961853027,8.470000267028809,1985-03-11,1985-03-13
1985-03-13,178.1900024414062,179.6600036621094,177.8399963378906,8.600000381469727,8.539999961853027,1985-03-12,1985-03-14
1985-03-14,177.8399963378906,178.1900024414062,176.5299987792969,8.720000267028809,8.600000381469727,1985-03-13,1985-03-15
1985-03-15,176.5299987792969,177.8399963378906,176.8800048828125,8.40999984741211,8.720000267028809,1985-03-14,1985-03-18
1985-03-18,176.8800048828125,176.5299987792969,179.5399932861328,8.510000228881836,8.40999984741211,1985-03-15,1985-03-19
1985-03-19,179.5399932861328,176.8800048828125,179.0800018310547,8.550000190734863,8.510000228881836,1985-03-18,1985-03-20
1985-03-20,179.0800018310547,179.5399932861328,179.3500061035156,8.529999732971191,8.550000190734863,1985-03-19,1985-03-21
1985-03-21,179.3500061035156,179.0800018310547,179.0399932861328,8.4399995803833,8.529999732971191,1985-03-20,1985-03-22
1985-03-22,179.0399932861328,179.3500061035156,177.9700012207031,8.510000228881836,8.4399995803833,1985-03-21,1985-03-25
1985-03-25,177.9700012207031,179.0399932861328,178.4299926757812,8.420000076293945,8.510000228881836,1985-03-22,1985-03-26
1985-03-26,178.4299926757812,177.9700012207031,179.5399932861328,8.34000015258789,8.420000076293945,1985-03-25,1985-03-27
1985-03-27,179.5399932861328,178.4299926757812,179.5399932861328,8.329999923706055,8.34000015258789,1985-03-26,1985-03-28
1985-03-28,179.5399932861328,179.5399932861328,180.6600036621094,8.1899995803833,8.329999923706055,1985-03-27,1985-03-29
1985-03-29,180.6600036621094,179.5399932861328,181.2700042724609,8.180000305175781,8.1899995803833,1985-03-28,1985-04-01
1985-04-01,181.2700042724609,180.6600036621094,180.5299987792969,8.149999618530273,8.180000305175781,1985-03-29,1985-04-02
1985-04-02,180.5299987792969,181.2700042724609,179.1100006103516,8.220000267028809,8.149999618530273,1985-04-01,1985-04-03
1985-04-03,179.1100006103516,180.5299987792969,179.0299987792969,8.15999984741211,8.220000267028809,1985-04-02,1985-04-04
1985-04-04,179.0299987792969,179.1100006103516,178.0299987792969,8.130000114440918,8.15999984741211,1985-04-03,1985-04-08
1985-04-08,178.0299987792969,179.0299987792969,178.2100067138672,8.119999885559082,8.130000114440918,1985-04-04,1985-04-09
1985-04-09,178.2100067138672,178.0299987792969,179.4199981689453,8.09000015258789,8.119999885559082,1985-04-08,1985-04-10
1985-04-10,179.4199981689453,178.2100067138672,180.1900024414062,8.100000381469727,8.09000015258789,1985-04-09,1985-04-11
1985-04-11,180.1900024414062,179.4199981689453,180.5399932861328,8.039999961853027,8.100000381469727,1985-04-10,1985-04-12
1985-04-12,180.5399932861328,180.1900024414062,180.9199981689453,8.050000190734863,8.039999961853027,1985-04-11,1985-04-15
1985-04-15,180.9199981689453,180.5399932861328,181.1999969482422,8.069999694824219,8.050000190734863,1985-04-12,1985-04-16
1985-04-16,181.1999969482422,180.9199981689453,181.6799926757812,7.929999828338623,8.069999694824219,1985-04-15,1985-04-17
1985-04-17,181.6799926757812,181.1999969482422,180.8399963378906,7.789999961853027,7.929999828338623,1985-04-16,1985-04-18
1985-04-18,180.8399963378906,181.6799926757812,181.1100006103516,7.710000038146973,7.789999961853027,1985-04-17,1985-04-19
1985-04-19,181.1100006103516,180.8399963378906,180.6999969482422,7.789999961853027,7.710000038146973,1985-04-18,1985-04-22
1985-04-22,180.6999969482422,181.1100006103516,181.8800048828125,7.670000076293945,7.789999961853027,1985-04-19,1985-04-23
1985-04-23,181.8800048828125,180.6999969482422,182.2599945068359,7.78000020980835,7.670000076293945,1985-04-22,1985-04-24
1985-04-24,182.2599945068359,181.8800048828125,183.4299926757812,7.75,7.78000020980835,1985-04-23,1985-04-25
1985-04-25,183.4299926757812,182.2599945068359,182.1799926757812,7.829999923706055,7.75,1985-04-24,1985-04-26
1985-04-26,182.1799926757812,183.4299926757812,180.6300048828125,7.809999942779541,7.829999923706055,1985-04-25,1985-04-29
1985-04-29,180.6300048828125,182.1799926757812,179.8300018310547,7.840000152587891,7.809999942779541,1985-04-26,1985-04-30
1985-04-30,179.8300018310547,180.6300048828125,178.3699951171875,7.849999904632568,7.840000152587891,1985-04-29,1985-05-01
1985-05-01,178.3699951171875,179.8300018310547,179.0099945068359,7.75,7.849999904632568,1985-04-30,1985-05-02
1985-05-02,179.0099945068359,178.3699951171875,180.0800018310547,7.760000228881836,7.75,1985-05-01,1985-05-03
1985-05-03,180.0800018310547,179.0099945068359,179.9900054931641,7.71999979019165,7.760000228881836,1985-05-02,1985-05-06
1985-05-06,179.9900054931641,180.0800018310547,180.7599945068359,7.730000019073486,7.71999979019165,1985-05-03,1985-05-07
1985-05-07,180.7599945068359,179.9900054931641,180.6199951171875,7.760000228881836,7.730000019073486,1985-05-06,1985-05-08
1985-05-08,180.6199951171875,180.7599945068359,181.9199981689453,7.820000171661377,7.760000228881836,1985-05-07,1985-05-09
1985-05-09,181.9199981689453,180.6199951171875,184.2799987792969,7.739999771118164,7.820000171661377,1985-05-08,1985-05-10
1985-05-10,184.2799987792969,181.9199981689453,184.6100006103516,7.730000019073486,7.739999771118164,1985-05-09,1985-05-13
1985-05-13,184.6100006103516,184.2799987792969,183.8699951171875,7.710000038146973,7.730000019073486,1985-05-10,1985-05-14
1985-05-14,183.8699951171875,184.6100006103516,184.5399932861328,7.599999904632568,7.710000038146973,1985-05-13,1985-05-15
1985-05-15,184.5399932861328,183.8699951171875,185.6600036621094,7.429999828338623,7.599999904632568,1985-05-14,1985-05-16
1985-05-16,185.6600036621094,184.5399932861328,187.4199981689453,7.369999885559082,7.429999828338623,1985-05-15,1985-05-17
1985-05-17,187.4199981689453,185.6600036621094,189.7200012207031,7.400000095367432,7.369999885559082,1985-05-16,1985-05-20
1985-05-20,189.7200012207031,187.4199981689453,189.6399993896484,7.260000228881836,7.400000095367432,1985-05-17,1985-05-21
1985-05-21,189.6399993896484,189.7200012207031,188.5599975585938,7.300000190734863,7.260000228881836,1985-05-20,1985-05-22
1985-05-22,188.5599975585938,189.6399993896484,187.6000061035156,7.289999961853027,7.300000190734863,1985-05-21,1985-05-23
1985-05-23,187.6000061035156,188.5599975585938,188.2899932861328,7.239999771118164,7.289999961853027,1985-05-22,1985-05-24
1985-05-24,188.2899932861328,187.6000061035156,187.8600006103516,7.179999828338623,7.239999771118164,1985-05-23,1985-05-28
1985-05-28,187.8600006103516,188.2899932861328,187.6799926757812,7.199999809265137,7.179999828338623,1985-05-24,1985-05-29
1985-05-29,187.6799926757812,187.8600006103516,187.75,7.239999771118164,7.199999809265137,1985-05-28,1985-05-30
1985-05-30,187.75,187.6799926757812,189.5500030517578,7.179999828338623,7.239999771118164,1985-05-29,1985-05-31
1985-05-31,189.5500030517578,187.75,189.3200073242188,7.139999866485596,7.179999828338623,1985-05-30,1985-06-03
1985-06-03,189.3200073242188,189.5500030517578,190.0399932861328,7.019999980926514,7.139999866485596,1985-05-31,1985-06-04
1985-06-04,190.0399932861328,189.3200073242188,190.1600036621094,6.960000038146973,7.019999980926514,1985-06-03,1985-06-05
1985-06-05,190.1600036621094,190.0399932861328,191.0599975585938,6.920000076293945,6.960000038146973,1985-06-04,1985-06-06
1985-06-06,191.0599975585938,190.1600036621094,189.6799926757812,6.980000019073486,6.920000076293945,1985-06-05,1985-06-07
1985-06-07,189.6799926757812,191.0599975585938,189.5099945068359,7.150000095367432,6.980000019073486,1985-06-06,1985-06-10
1985-06-10,189.5099945068359,189.6799926757812,189.0399932861328,7.230000019073486,7.150000095367432,1985-06-07,1985-06-11
1985-06-11,189.0399932861328,189.5099945068359,187.6100006103516,7.150000095367432,7.230000019073486,1985-06-10,1985-06-12
1985-06-12,187.6100006103516,189.0399932861328,185.3300018310547,7.090000152587891,7.150000095367432,1985-06-11,1985-06-13
1985-06-13,185.3300018310547,187.6100006103516,187.1000061035156,6.96999979019165,7.090000152587891,1985-06-12,1985-06-14
1985-06-14,187.1000061035156,185.3300018310547,186.5299987792969,6.699999809265137,6.96999979019165,1985-06-13,1985-06-17
1985-06-17,186.5299987792969,187.1000061035156,187.3399963378906,6.769999980926514,6.699999809265137,1985-06-14,1985-06-18
1985-06-18,187.3399963378906,186.5299987792969,186.6300048828125,6.659999847412109,6.769999980926514,1985-06-17,1985-06-19
1985-06-19,186.6300048828125,187.3399963378906,186.7299957275391,6.739999771118164,6.659999847412109,1985-06-18,1985-06-20
1985-06-20,186.7299957275391,186.6300048828125,189.6100006103516,6.829999923706055,6.739999771118164,1985-06-19,1985-06-21
1985-06-21,189.6100006103516,186.7299957275391,189.1499938964844,7.039999961853027,6.829999923706055,1985-06-20,1985-06-24
1985-06-24,189.1499938964844,189.6100006103516,189.7400054931641,7.059999942779541,7.039999961853027,1985-06-21,1985-06-25
1985-06-25,189.7400054931641,189.1499938964844,190.0599975585938,7.090000152587891,7.059999942779541,1985-06-24,1985-06-26
1985-06-26,190.0599975585938,189.7400054931641,191.2299957275391,6.989999771118164,7.090000152587891,1985-06-25,1985-06-27
1985-06-27,191.2299957275391,190.0599975585938,191.8500061035156,6.900000095367432,6.989999771118164,1985-06-26,1985-06-28
1985-06-28,191.8500061035156,191.2299957275391,192.4299926757812,6.829999923706055,6.900000095367432,1985-06-27,1985-07-01
1985-07-01,192.4299926757812,191.8500061035156,192.0099945068359,6.869999885559082,6.829999923706055,1985-06-28,1985-07-02
1985-07-02,192.0099945068359,192.4299926757812,191.4499969482422,6.949999809265137,6.869999885559082,1985-07-01,1985-07-03
1985-07-03,191.4499969482422,192.0099945068359,192.5200042724609,7.019999980926514,6.949999809265137,1985-07-02,1985-07-05
1985-07-05,192.5200042724609,191.4499969482422,191.9299926757812,6.769999980926514,7.019999980926514,1985-07-03,1985-07-08
1985-07-08,191.9299926757812,192.5200042724609,191.0500030517578,6.920000076293945,6.769999980926514,1985-07-05,1985-07-09
1985-07-09,191.0500030517578,191.9299926757812,192.3699951171875,6.960000038146973,6.920000076293945,1985-07-08,1985-07-10
1985-07-10,192.3699951171875,191.0500030517578,192.9400024414062,6.940000057220459,6.960000038146973,1985-07-09,1985-07-11
1985-07-11,192.9400024414062,192.3699951171875,193.2899932861328,7.050000190734863,6.940000057220459,1985-07-10,1985-07-12
1985-07-12,193.2899932861328,192.9400024414062,192.7200012207031,7.090000152587891,7.050000190734863,1985-07-11,1985-07-15
1985-07-15,192.7200012207031,193.2899932861328,194.7200012207031,7.039999961853027,7.090000152587891,1985-07-12,1985-07-16
1985-07-16,194.7200012207031,192.7200012207031,195.6499938964844,7.0,7.039999961853027,1985-07-15,1985-07-17
1985-07-17,195.6499938964844,194.7200012207031,194.3800048828125,6.989999771118164,7.0,1985-07-16,1985-07-18
1985-07-18,194.3800048828125,195.6499938964844,195.1300048828125,7.150000095367432,6.989999771118164,1985-07-17,1985-07-19
1985-07-19,195.1300048828125,194.3800048828125,194.3500061035156,7.159999847412109,7.150000095367432,1985-07-18,1985-07-22
1985-07-22,194.3500061035156,195.1300048828125,192.5500030517578,7.239999771118164,7.159999847412109,1985-07-19,1985-07-23
1985-07-23,192.5500030517578,194.3500061035156,191.5800018310547,7.260000228881836,7.239999771118164,1985-07-22,1985-07-24
1985-07-24,191.5800018310547,192.5500030517578,192.0599975585938,7.239999771118164,7.260000228881836,1985-07-23,1985-07-25
1985-07-25,192.0599975585938,191.5800018310547,192.3999938964844,7.170000076293945,7.239999771118164,1985-07-24,1985-07-26
1985-07-26,192.3999938964844,192.0599975585938,189.6000061035156,7.190000057220459,7.170000076293945,1985-07-25,1985-07-29
1985-07-29,189.6000061035156,192.3999938964844,189.9299926757812,7.25,7.190000057220459,1985-07-26,1985-07-30
1985-07-30,189.9299926757812,189.6000061035156,190.9199981689453,7.28000020980835,7.25,1985-07-29,1985-07-31
1985-07-31,190.9199981689453,189.9299926757812,192.1100006103516,7.28000020980835,7.28000020980835,1985-07-30,1985-08-01
1985-08-01,192.1100006103516,190.9199981689453,191.4799957275391,7.269999980926514,7.28000020980835,1985-07-31,1985-08-02
1985-08-02,191.4799957275391,192.1100006103516,190.6199951171875,7.309999942779541,7.269999980926514,1985-08-01,1985-08-05
1985-08-05,190.6199951171875,191.4799957275391,187.9299926757812,7.269999980926514,7.309999942779541,1985-08-02,1985-08-06
1985-08-06,187.9299926757812,190.6199951171875,187.6799926757812,7.260000228881836,7.269999980926514,1985-08-05,1985-08-07
1985-08-07,187.6799926757812,187.9299926757812,188.9499969482422,7.179999828338623,7.260000228881836,1985-08-06,1985-08-08
1985-08-08,188.9499969482422,187.6799926757812,188.3200073242188,7.170000076293945,7.179999828338623,1985-08-07,1985-08-09
1985-08-09,188.3200073242188,188.9499969482422,187.6300048828125,7.159999847412109,7.170000076293945,1985-08-08,1985-08-12
1985-08-12,187.6300048828125,188.3200073242188,187.3000030517578,7.099999904632568,7.159999847412109,1985-08-09,1985-08-13
1985-08-13,187.3000030517578,187.6300048828125,187.4100036621094,7.139999866485596,7.099999904632568,1985-08-12,1985-08-14
1985-08-14,187.4100036621094,187.3000030517578,187.2599945068359,7.090000152587891,7.139999866485596,1985-08-13,1985-08-15
