date,GSPC,lag_GSPC_1,lead_GSPC_2,lead_GSPC_1,rfr,lag_rfr_1,lag_date_1,lead_date_2,lead_date_1
1/2/1985,165.3699951,167.2400055,164.5700073,180.3500061,7.829999924,7.849999905,12/31/1984,1/3/1985,2/4/1985
1/3/1985,164.5700073,165.3699951,163.6799927,180.6100006,7.800000191,7.829999924,1/2/1985,1/4/1985,2/5/1985
1/4/1985,163.6799927,164.5700073,164.2400055,180.4299927,7.820000172,7.800000191,1/3/1985,1/7/1985,2/6/1985
1/7/1985,164.2400055,163.6799927,163.9900055,181.8200073,7.78000021,7.820000172,1/4/1985,1/8/1985,2/7/1985
1/8/1985,163.9900055,164.2400055,165.1799927,182.1900024,7.789999962,7.78000021,1/7/1985,1/9/1985,2/8/1985
1/9/1985,165.1799927,163.9900055,168.3099976,180.5099945,7.690000057,7.789999962,1/8/1985,1/10/1985,2/11/1985
1/10/1985,168.3099976,165.1799927,167.9100037,183.3500061,7.739999771,7.690000057,1/9/1985,1/11/1985,2/13/1985
1/11/1985,167.9100037,168.3099976,170.5099945,182.4100037,7.760000229,7.739999771,1/10/1985,1/14/1985,2/14/1985
1/14/1985,170.5099945,167.9100037,170.8099976,181.6000061,7.699999809,7.760000229,1/11/1985,1/15/1985,2/15/1985
1/15/1985,170.8099976,170.5099945,171.1900024,181.3300018,7.730000019,7.699999809,1/14/1985,1/16/1985,2/19/1985
1/16/1985,171.1900024,170.8099976,170.7299957,181.1799927,7.739999771,7.730000019,1/15/1985,1/17/1985,2/20/1985
1/17/1985,170.7299957,171.1900024,171.3200073,180.1900024,7.739999771,7.739999771,1/16/1985,1/18/1985,2/21/1985
1/18/1985,171.3200073,170.7299957,175.4799957,179.3600006,7.739999771,7.739999771,1/17/1985,1/22/1985,2/22/1985
1/22/1985,175.4799957,171.3200073,177.3000031,179.2299957,7.699999809,7.739999771,1/18/1985,1/23/1985,2/25/1985
1/23/1985,177.3000031,175.4799957,176.7100067,181.1699982,7.639999866,7.699999809,1/22/1985,1/24/1985,2/26/1985
1/24/1985,176.7100067,177.3000031,177.3500061,180.7100067,7.619999886,7.639999866,1/23/1985,1/25/1985,2/27/1985
1/25/1985,177.3500061,176.7100067,177.3999939,181.1799927,7.639999866,7.619999886,1/24/1985,1/28/1985,2/28/1985
1/28/1985,177.3999939,177.3500061,179.1799927,183.2299957,7.71999979,7.639999866,1/25/1985,1/29/1985,3/1/1985
1/29/1985,179.1799927,177.3999939,179.3899994,182.0599976,7.820000172,7.71999979,1/28/1985,1/30/1985,3/4/1985
