date,GSPC,lag_GSPC_1,lead_GSPC_1,rfr,lag_rfr_1,lag_date_1,lead_date_1
1985-01-31,179.6300048828125,167.240005493164,181.1799926757812,8.050000190734863,7.84999990463257,1984-12-31,1985-02-28
1985-02-28,181.1799926757812,179.6300048828125,180.6600036621094,8.5,8.050000190734863,1985-01-31,1985-03-29
1985-03-29,180.6600036621094,181.1799926757812,179.8300018310547,8.180000305175781,8.5,1985-02-28,1985-04-30
1985-04-30,179.8300018310547,180.6600036621094,189.5500030517578,7.849999904632568,8.180000305175781,1985-03-29,1985-05-31
1985-05-31,189.5500030517578,179.8300018310547,191.8500061035156,7.139999866485596,7.849999904632568,1985-04-30,1985-06-28
1985-06-28,191.8500061035156,189.5500030517578,190.9199981689453,6.829999923706055,7.139999866485596,1985-05-31,1985-07-31
1985-07-31,190.9199981689453,191.8500061035156,188.6300048828125,7.28000020980835,6.829999923706055,1985-06-28,1985-08-30
1985-08-30,188.6300048828125,190.9199981689453,182.0800018310547,7.139999866485596,7.28000020980835,1985-07-31,1985-09-30
1985-09-30,182.0800018310547,188.6300048828125,189.8200073242188,7.039999961853027,7.139999866485596,1985-08-30,1985-10-31
1985-10-31,189.8200073242188,182.0800018310547,202.1699981689453,7.190000057220459,7.039999961853027,1985-09-30,1985-11-29
1985-11-29,202.1699981689453,189.8200073242188,211.2799987792969,7.159999847412109,7.190000057220459,1985-10-31,1985-12-31
1985-12-31,211.2799987792969,202.1699981689453,211.7799987792969,7.050000190734863,7.159999847412109,1985-11-29,1986-01-31
1986-01-31,211.7799987792969,211.2799987792969,226.9199981689453,6.96999979019165,7.050000190734863,1985-12-31,1986-02-28
1986-02-28,226.9199981689453,211.7799987792969,238.8999938964844,7.019999980926514,6.96999979019165,1986-01-31,1986-03-31
1986-03-31,238.8999938964844,226.9199981689453,235.5200042724609,6.340000152587891,7.019999980926514,1986-02-28,1986-04-30
1986-04-30,235.5200042724609,238.8999938964844,247.3500061035156,6.099999904632568,6.340000152587891,1986-03-31,1986-05-30
1986-05-30,247.3500061035156,235.5200042724609,250.8399963378906,6.300000190734863,6.099999904632568,1986-04-30,1986-06-30
1986-06-30,250.8399963378906,247.3500061035156,236.1199951171875,5.960000038146973,6.300000190734863,1986-05-30,1986-07-31
1986-07-31,236.1199951171875,250.8399963378906,252.9299926757812,5.789999961853027,5.960000038146973,1986-06-30,1986-08-29
1986-08-29,252.9299926757812,236.1199951171875,231.3200073242188,5.170000076293945,5.789999961853027,1986-07-31,1986-09-30
1986-09-30,231.3200073242188,252.9299926757812,243.9799957275391,5.199999809265137,5.170000076293945,1986-08-29,1986-10-31
1986-10-31,243.9799957275391,231.3200073242188,249.2200012207031,5.199999809265137,5.199999809265137,1986-09-30,1986-11-28
1986-11-28,249.2200012207031,243.9799957275391,242.1699981689453,5.389999866485596,5.199999809265137,1986-10-31,1986-12-31
1986-12-31,242.1699981689453,249.2200012207031,274.0799865722656,5.670000076293945,5.389999866485596,1986-11-28,1987-01-30
1987-01-30,274.0799865722656,242.1699981689453,284.2000122070312,5.599999904632568,5.670000076293945,1986-12-31,1987-02-27
1987-02-27,284.2000122070312,274.0799865722656,291.7000122070312,5.449999809265137,5.599999904632568,1987-01-30,1987-03-31
1987-03-31,291.7000122070312,284.2000122070312,288.3599853515625,5.610000133514404,5.449999809265137,1987-02-27,1987-04-30
1987-04-30,288.3599853515625,291.7000122070312,290.1000061035156,5.53000020980835,5.610000133514404,1987-03-31,1987-05-29
1987-05-29,290.1000061035156,288.3599853515625,304.0,5.679999828338623,5.53000020980835,1987-04-30,1987-06-30
1987-06-30,304.0,290.1000061035156,318.6600036621094,5.730000019073486,5.679999828338623,1987-05-29,1987-07-31
1987-07-31,318.6600036621094,304.0,329.7999877929688,6.070000171661377,5.730000019073486,1987-06-30,1987-08-31
1987-08-31,329.7999877929688,318.6600036621094,321.8299865722656,6.25,6.070000171661377,1987-07-31,1987-09-30
1987-09-30,321.8299865722656,329.7999877929688,251.7899932861328,6.610000133514404,6.25,1987-08-31,1987-10-30
1987-10-30,251.7899932861328,321.8299865722656,230.3000030517578,5.269999980926514,6.610000133514404,1987-09-30,1987-11-30
1987-11-30,230.3000030517578,251.7899932861328,247.0800018310547,5.210000038146973,5.269999980926514,1987-10-30,1987-12-31
1987-12-31,247.0800018310547,230.3000030517578,257.0700073242188,5.679999828338623,5.210000038146973,1987-11-30,1988-01-29
1988-01-29,257.0700073242188,247.0800018310547,267.8200073242188,5.639999866485596,5.679999828338623,1987-12-31,1988-02-29
1988-02-29,267.8200073242188,257.0700073242188,258.8900146484375,5.619999885559082,5.639999866485596,1988-01-29,1988-03-31
1988-03-31,258.8900146484375,267.8200073242188,261.3299865722656,5.710000038146973,5.619999885559082,1988-02-29,1988-04-29
1988-04-29,261.3299865722656,258.8900146484375,262.1600036621094,5.980000019073486,5.710000038146973,1988-03-31,1988-05-31
1988-05-31,262.1600036621094,261.3299865722656,273.5,6.429999828338623,5.980000019073486,1988-04-29,1988-06-30
1988-06-30,273.5,262.1600036621094,272.0199890136719,6.559999942779541,6.429999828338623,1988-05-31,1988-07-29
1988-07-29,272.0199890136719,273.5,261.5199890136719,6.949999809265137,6.559999942779541,1988-06-30,1988-08-31
1988-08-31,261.5199890136719,272.0199890136719,271.9100036621094,7.300000190734863,6.949999809265137,1988-07-29,1988-09-30
1988-09-30,271.9100036621094,261.5199890136719,278.9700012207031,7.25,7.300000190734863,1988-08-31,1988-10-31
1988-10-31,278.9700012207031,271.9100036621094,273.7000122070312,7.360000133514404,7.25,1988-09-30,1988-11-30
1988-11-30,273.7000122070312,278.9700012207031,277.7200012207031,7.829999923706055,7.360000133514404,1988-10-31,1988-12-30
1988-12-30,277.7200012207031,273.7000122070312,297.4700012207031,8.100000381469727,7.829999923706055,1988-11-30,1989-01-31
1989-01-31,297.4700012207031,277.7200012207031,288.8599853515625,8.390000343322754,8.100000381469727,1988-12-30,1989-02-28
1989-02-28,288.8599853515625,297.4700012207031,294.8699951171875,8.710000038146973,8.390000343322754,1989-01-31,1989-03-31
1989-03-31,294.8699951171875,288.8599853515625,309.6400146484375,8.899999618530273,8.710000038146973,1989-02-28,1989-04-28
1989-04-28,309.6400146484375,294.8699951171875,320.5199890136719,8.40999984741211,8.899999618530273,1989-03-31,1989-05-31
1989-05-31,320.5199890136719,309.6400146484375,317.9800109863281,8.609999656677246,8.40999984741211,1989-04-28,1989-06-30
1989-06-30,317.9800109863281,320.5199890136719,346.0799865722656,7.989999771118164,8.609999656677246,1989-05-31,1989-07-31
1989-07-31,346.0799865722656,317.9800109863281,351.4500122070312,7.800000190734863,7.989999771118164,1989-06-30,1989-08-31
1989-08-31,351.4500122070312,346.0799865722656,349.1499938964844,7.889999866485596,7.800000190734863,1989-07-31,1989-09-29
1989-09-29,349.1499938964844,351.4500122070312,340.3599853515625,7.909999847412109,7.889999866485596,1989-08-31,1989-10-31
1989-10-31,340.3599853515625,349.1499938964844,345.989990234375,7.769999980926514,7.909999847412109,1989-09-29,1989-11-30
1989-11-30,345.989990234375,340.3599853515625,353.3999938964844,7.590000152587891,7.769999980926514,1989-10-31,1989-12-29
1989-12-29,353.3999938964844,345.989990234375,329.0799865722656,7.550000190734863,7.590000152587891,1989-11-30,1990-01-31
1990-01-31,329.0799865722656,353.3999938964844,331.8900146484375,7.739999771118164,7.550000190734863,1989-12-29,1990-02-28
1990-02-28,331.8900146484375,329.0799865722656,339.9400024414062,7.769999980926514,7.739999771118164,1990-01-31,1990-03-30
1990-03-30,339.9400024414062,331.8900146484375,330.7999877929688,7.800000190734863,7.769999980926514,1990-02-28,1990-04-30
1990-04-30,330.7999877929688,339.9400024414062,361.2300109863281,7.789999961853027,7.800000190734863,1990-03-30,1990-05-31
1990-05-31,361.2300109863281,330.7999877929688,358.0199890136719,7.75,7.789999961853027,1990-04-30,1990-06-29
1990-06-29,358.0199890136719,361.2300109863281,356.1499938964844,7.739999771118164,7.75,1990-05-31,1990-07-31
1990-07-31,356.1499938964844,358.0199890136719,322.5599975585938,7.489999771118164,7.739999771118164,1990-06-29,1990-08-31
1990-08-31,322.5599975585938,356.1499938964844,306.0499877929688,7.389999866485596,7.489999771118164,1990-07-31,1990-09-28
1990-09-28,306.0499877929688,322.5599975585938,304.0,7.139999866485596,7.389999866485596,1990-08-31,1990-10-31
1990-10-31,304.0,306.0499877929688,322.2200012207031,7.110000133514404,7.139999866485596,1990-09-28,1990-11-30
1990-11-30,322.2200012207031,304.0,330.2200012207031,7.019999980926514,7.110000133514404,1990-10-31,1990-12-31
